Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_18,12.0,both,699.76,38.18,3.8652
Image_18,11.0,none,486.72,57.0,7.3427
Image_18,11.0,brightness,519.89,54.07,6.553
Image_18,11.0,contrast,525.93,53.54,6.4317
Image_18,11.0,both,559.54,50.57,5.6519
Image_18,10.0,none,364.43,67.81,9.3693
Image_18,10.0,brightness,392.86,65.3,8.5666
Image_18,10.0,contrast,397.59,64.88,8.4748
Image_18,10.0,both,425.63,62.4,7.7214
Image_18,9.0,none,257.74,77.23,11.5566
Image_18,9.0,brightness,277.75,75.46,10.8755
Image_18,9.0,contrast,280.97,75.18,10.7883
Image_18,9.0,both,300.64,73.44,10.1463
Image_19,15.0,none,1038.62,0.0,0.0
Image_19,15.0,brightness,1036.98,0.16,0.0733
Image_19,15.0,contrast,1036.98,0.16,0.0733
Image_19,15.0,both,1036.98,0.16,0.0733
Image_19,14.0,none,871.18,16.12,1.3431
Image_19,14.0,brightness,889.9,14.32,1.0595
Image_19,14.0,contrast,888.02,14.5,1.1056
Image_19,14.0,both,909.75,12.41,0.7907
Image_19,13.0,none,717.77,30.89,2.7178
Image_19,13.0,brightness,749.14,27.87,2.2195
Image_19,13.0,contrast,746.88,28.09,2.2655
Image_19,13.0,both,781.09,24.8,1.7158
Image_19,12.0,none,578.38,44.31,4.1339
Image_19,12.0,brightness,616.52,40.64,3.4326
Image_19,12.0,contrast,612.66,41.01,3.5354
Image_19,12.0,both,651.56,37.27,2.8405
